Gene_Name,Index
.,0
A1BG,1
A1CF,2
A2BP1,3
A2M,4
A2ML1,5
A4GALT,6
A4GNT,7
AAAS,8
AACS,9
AADAC,10
AADACL1,11
AADACL2,12
AADACL3,13
AADACL4,14
AADAT,15
AAED1,16
AAGAB,17
AAK1,18
AAMP,19
AANAT,20
AAR2,21
AARS,22
AARS2,23
AARSD1,24
AASDH,25
AASDHPPT,26
AASS,27
AATF,28
AATK,29
ABAT,30
ABCA1,31
ABCA10,32
ABCA11P,33
ABCA12,34
ABCA13,35
ABCA2,36
ABCA3,37
ABCA4,38
ABCA5,39
ABCA6,40
ABCA7,41
ABCA8,42
ABCA9,43
ABCB1,44
ABCB10,45
ABCB11,46
ABCB4,47
ABCB5,48
ABCB6,49
ABCB7,50
ABCB8,51
ABCB9,52
ABCC1,53
ABCC10,54
ABCC11,55
ABCC12,56
ABCC2,57
ABCC3,58
ABCC4,59
ABCC5,60
ABCC6,61
ABCC6P1,62
ABCC6P2,63
ABCC8,64
ABCC9,65
ABCD1,66
ABCD2,67
ABCD3,68
ABCD4,69
ABCE1,70
ABCF1,71
ABCF2,72
ABCF3,73
ABCG1,74
ABCG2,75
ABCG4,76
ABCG5,77
ABCG8,78
ABHD1,79
ABHD10,80
ABHD11,81
ABHD12,82
ABHD12B,83
ABHD13,84
ABHD14A,85
ABHD14B,86
ABHD15,87
ABHD16A,88
ABHD16B,89
ABHD2,90
ABHD3,91
ABHD4,92
ABHD5,93
ABHD6,94
ABHD8,95
ABI1,96
ABI2,97
ABI3,98
ABI3BP,99
ABL1,100
ABL2,101
ABLIM1,102
ABLIM2,103
ABLIM3,104
ABO,105
ABP1,106
ABR,107
ABRA,108
ABT1,109
ABTB1,110
ABTB2,111
ACAA1,112
ACAA2,113
ACACA,114
ACACB,115
ACAD10,116
ACAD11,117
ACAD8,118
ACAD9,119
ACADL,120
ACADM,121
ACADS,122
ACADSB,123
ACADVL,124
ACAN,125
ACAP1,126
ACAP2,127
ACAP3,128
ACAT1,129
ACAT2,130
ACBD3,131
ACBD4,132
ACBD5,133
ACBD6,134
ACBD7,135
ACCN1,136
ACCN2,137
ACCN3,138
ACCN4,139
ACCN5,140
ACCS,141
ACCSL,142
ACD,143
ACE,144
ACE2,145
ACER1,146
ACER2,147
ACER3,148
ACHE,149
ACIN1,150
ACLY,151
ACMSD,152
ACN9,153
ACO1,154
ACO2,155
ACOT1,156
ACOT11,157
ACOT12,158
ACOT13,159
ACOT2,160
ACOT4,161
ACOT6,162
ACOT7,163
ACOT8,164
ACOT9,165
ACOX1,166
ACOX2,167
ACOX3,168
ACOXL,169
ACP1,170
ACP2,171
ACP5,172
ACP6,173
ACPL2,174
ACPP,175
ACPT,176
ACR,177
ACRBP,178
ACRC,179
ACRV1,180
ACSBG1,181
ACSBG2,182
ACSF2,183
ACSF3,184
ACSL1,185
ACSL3,186
ACSL4,187
ACSL5,188
ACSL6,189
ACSM1,190
ACSM2A,191
ACSM2B,192
ACSM3,193
ACSM4,194
ACSM5,195
ACSS1,196
ACSS2,197
ACSS3,198
ACTA1,199
ACTA2,200
ACTB,201
ACTBL2,202
ACTC1,203
ACTG1,204
ACTG2,205
ACTL6A,206
ACTL6B,207
ACTL7A,208
ACTL7B,209
ACTL8,210
ACTL9,211
ACTN1,212
ACTN2,213
ACTN3,214
ACTN4,215
ACTR10,216
ACTR1A,217
ACTR1B,218
ACTR2,219
ACTR3,220
ACTR3B,221
ACTR3C,222
ACTR5,223
ACTR6,224
ACTR8,225
ACTRT1,226
ACTRT2,227
ACTRT3,228
ACVR1,229
ACVR1B,230
ACVR1C,231
ACVR2A,232
ACVR2B,233
ACVRL1,234
ACY1,235
ACY3,236
ACYP1,237
ACYP2,238
ADA,239
ADAD1,240
ADAD2,241
ADAL,242
ADAM10,243
ADAM11,244
ADAM12,245
ADAM15,246
ADAM17,247
ADAM18,248
ADAM19,249
ADAM2,250
ADAM20,251
ADAM21,252
ADAM21P1,253
ADAM22,254
ADAM23,255
ADAM28,256
ADAM29,257
ADAM30,258
ADAM32,259
ADAM33,260
ADAM3A,261
ADAM6,262
ADAM7,263
ADAM8,264
ADAM9,265
ADAMDEC1,266
ADAMTS1,267
ADAMTS10,268
ADAMTS12,269
ADAMTS13,270
ADAMTS14,271
ADAMTS15,272
ADAMTS16,273
ADAMTS17,274
ADAMTS18,275
ADAMTS19,276
ADAMTS2,277
ADAMTS20,278
ADAMTS3,279
ADAMTS4,280
ADAMTS5,281
ADAMTS6,282
ADAMTS7,283
ADAMTS8,284
ADAMTS9,285
ADAMTSL1,286
ADAMTSL2,287
ADAMTSL3,288
ADAMTSL4,289
ADAMTSL5,290
ADAP1,291
ADAP2,292
ADAR,293
ADARB1,294
ADARB2,295
ADAT1,296
ADAT2,297
ADAT3,298
ADC,299
ADCK1,300
ADCK2,301
ADCK3,302
ADCK4,303
ADCK5,304
ADCY1,305
ADCY10,306
ADCY2,307
ADCY3,308
ADCY4,309
ADCY5,310
ADCY6,311
ADCY7,312
ADCY8,313
ADCY9,314
ADCYAP1,315
ADCYAP1R1,316
ADD1,317
ADD2,318
ADD3,319
ADFP,320
ADGB,321
ADH1A,322
ADH1B,323
ADH1C,324
ADH4,325
ADH5,326
ADH6,327
ADH7,328
ADHFE1,329
ADI1,330
ADIG,331
ADIPOQ,332
ADIPOR1,333
ADIPOR2,334
ADK,335
ADM,336
ADM2,337
ADNP,338
ADNP2,339
ADORA1,340
ADORA2A,341
ADORA2B,342
ADORA3,343
ADPGK,344
ADPRH,345
ADPRHL1,346
ADPRHL2,347
ADPRM,348
ADRA1A,349
ADRA1B,350
ADRA1D,351
ADRA2A,352
ADRA2B,353
ADRA2C,354
ADRB1,355
ADRB2,356
ADRB3,357
ADRBK1,358
ADRBK2,359
ADRM1,360
ADSL,361
ADSS,362
ADSSL1,363
ADTRP,364
AEBP1,365
AEBP2,366
AEN,367
AES,368
AFAP1,369
AFAP1L1,370
AFAP1L2,371
AFF1,372
AFF2,373
AFF3,374
AFF4,375
AFG3L2,376
AFM,377
AFMID,378
AFP,379
AFTPH,380
AGA,381
AGAP1,382
AGAP11,383
AGAP2,384
AGAP3,385
AGAP4,386
AGAP5,387
AGAP6,388
AGAP7,389
AGAP8,390
AGAP9,391
AGBL1,392
AGBL2,393
AGBL3,394
AGBL4,395
AGBL5,396
AGER,397
AGFG1,398
AGFG2,399
AGGF1,400
AGK,401
AGL,402
AGMAT,403
AGMO,404
AGPAT1,405
AGPAT2,406
AGPAT3,407
AGPAT4,408
AGPAT5,409
AGPAT6,410
AGPAT9,411
AGPHD1,412
AGPS,413
AGR2,414
AGRN,415
AGRP,416
AGT,417
AGTPBP1,418
AGTR1,419
AGTR2,420
AGTRAP,421
AGXT,422
AGXT2,423
AGXT2L1,424
AGXT2L2,425
AHCTF1,426
AHCY,427
AHCYL1,428
AHCYL2,429
AHDC1,430
