Tumor_Sample_ID,Tumor_Sample_Index
TCGA-13-0751,0
TCGA-BS-A0U7,1
TCGA-B5-A11S,2
TCGA-24-1419,3
TCGA-A8-A0A2,4
TCGA-D1-A177,5
TCGA-AQ-A04J,6
TCGA-78-7143,7
TCGA-AA-3692,8
TCGA-A7-A5ZW,9
TCGA-61-2113,10
TCGA-AG-A02X,11
TCGA-75-6214,12
TCGA-E2-A152,13
TCGA-A8-A09V,14
TCGA-AG-4015,15
TCGA-13-1488,16
TCGA-C8-A133,17
TCGA-AP-A056,18
TCGA-AG-A00C,19
TCGA-04-1348,20
TCGA-86-6851,21
TCGA-A2-A0CU,22
TCGA-26-6174,23
TCGA-44-6147,24
TCGA-D1-A0ZQ,25
TCGA-44-2657,26
TCGA-AO-A0JB,27
TCGA-76-4928,28
TCGA-B6-A0RE,29
TCGA-AG-A00Y,30
TCGA-04-1342,31
TCGA-E9-A1NC,32
TCGA-E9-A1RH,33
TCGA-A2-A25E,34
TCGA-AA-3869,35
TCGA-AO-A1KR,36
TCGA-BH-A0BA,37
TCGA-04-1350,38
TCGA-BG-A0M2,39
TCGA-BH-A1EX,40
TCGA-D8-A27E,41
TCGA-D8-A27I,42
TCGA-64-1677,43
TCGA-C8-A1HK,44
TCGA-AX-A062,45
TCGA-A7-A26G,46
TCGA-AA-A03F,47
TCGA-A8-A09E,48
TCGA-EW-A1P6,49
TCGA-36-1568,50
TCGA-55-7728,51
TCGA-A2-A1G1,52
TCGA-24-1413,53
TCGA-A5-A0VP,54
TCGA-61-2002,55
TCGA-AG-3901,56
TCGA-BG-A0M0,57
TCGA-AG-A002,58
TCGA-D8-A142,59
TCGA-76-6191,60
TCGA-06-0216,61
TCGA-C8-A132,62
TCGA-AA-3681,63
TCGA-55-6981,64
TCGA-25-1328,65
TCGA-A2-A0YD,66
TCGA-BG-A187,67
TCGA-75-6207,68
TCGA-GM-A3XN,69
TCGA-50-5942,70
TCGA-24-2298,71
TCGA-02-0003,72
TCGA-AA-3844,73
TCGA-E2-A14V,74
TCGA-73-7499,75
TCGA-27-2527,76
TCGA-AA-3664,77
TCGA-06-0137,78
TCGA-26-5136,79
TCGA-E2-A14X,80
TCGA-AG-3598,81
TCGA-61-2008,82
TCGA-AX-A0J0,83
TCGA-AC-A2B8,84
TCGA-BS-A0UT,85
TCGA-C8-A26V,86
TCGA-AR-A2LJ,87
TCGA-A2-A0YI,88
TCGA-AA-3833,89
TCGA-24-2262,90
TCGA-97-7553,91
TCGA-AX-A063,92
TCGA-12-1597,93
TCGA-A8-A09T,94
TCGA-FI-A2D2,95
TCGA-BG-A2AE,96
TCGA-AQ-A54O,97
TCGA-E2-A3DX,98
TCGA-41-3915,99
TCGA-AA-3972,100
TCGA-BH-A0BW,101
TCGA-AA-3534,102
TCGA-61-2101,103
TCGA-E2-A10B,104
TCGA-A2-A0T2,105
TCGA-24-1431,106
TCGA-44-4112,107
TCGA-GM-A2DN,108
TCGA-13-0727,109
TCGA-C8-A274,110
TCGA-D8-A1X7,111
TCGA-BH-A5J0,112
TCGA-BH-A0B8,113
TCGA-BH-A18P,114
TCGA-78-7535,115
TCGA-AG-3902,116
TCGA-AF-3400,117
TCGA-BH-A208,118
TCGA-GM-A2DI,119
TCGA-MS-A51U,120
TCGA-78-7167,121
TCGA-44-2656,122
TCGA-B6-A0I5,123
TCGA-14-0740,124
TCGA-AO-A0J9,125
